sweep,scheme,N,range_pct,d,matched,abse_test_calls,bitmap_words,agg_entries,note,runs,mean_ms,median_ms,stdev_ms,ci95_ms,min_ms,max_ms,raw_ms,env_timestamp_utc,env_host,env_platform,env_python,env_aws_target,env_git_rev
vs_range,VC-KASE,10000,10,1,480,,157,480,,20,11855.308496100042,11853.365371500331,6.482796192181578,2.8412107021189805,11852.615755999068,11882.487342001696,"[11852.742546, 11854.89096, 11854.308381, 11852.615756, 11853.191691, 11882.487342, 11853.044649, 11855.794061, 11853.402168, 11853.082739, 11854.713432, 11855.69747, 11854.767806, 11852.892258, 11853.309798, 11855.576396, 11854.36186, 11853.091326, 11853.328575, 11852.870708]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,VC-KASE,10000,20,1,480,,157,480,,20,11854.378680950504,11854.485860501882,1.3168429827446702,0.5771318833216903,11851.964769997721,11856.952135000029,"[11853.240422, 11852.59525, 11854.544392, 11851.96477, 11853.87361, 11854.886942, 11855.844242, 11855.107303, 11855.701559, 11855.021514, 11853.411456, 11854.427329, 11856.309797, 11855.09821, 11855.271895, 11856.952135, 11853.368079, 11853.190792, 11853.725985, 11853.037937]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,VC-KASE,10000,30,1,480,,157,480,,20,11853.03284765032,11853.01942499973,0.8879161954054625,0.3891464303649217,11851.436128999921,11854.377662999468,"[11852.371871, 11852.426951, 11854.116461, 11853.321155, 11853.785098, 11854.234399, 11853.274808, 11854.212211, 11851.916707, 11853.994864, 11852.706496, 11853.271306, 11851.436129, 11852.649281, 11854.377663, 11852.349102, 11851.95694, 11852.767544, 11852.128765, 11853.359202]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,VC-KASE,10000,50,1,480,,157,480,,20,11853.733266149902,11853.831997499583,1.094573802469587,0.47971812002763503,11851.265643999795,11855.147541999031,"[11852.560744, 11852.222941, 11853.373196, 11853.022377, 11854.311353, 11854.957626, 11855.07531, 11853.274957, 11852.767097, 11855.147542, 11854.818481, 11852.608389, 11851.265644, 11854.431793, 11854.946978, 11853.869979, 11853.794016, 11853.471751, 11854.755572, 11853.989577]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,VC-KASE,10000,80,1,480,,157,480,,20,11853.75180755018,11853.8588779993,1.165942934541314,0.5109970212659132,11851.583133000531,11855.80962899985,"[11851.583133, 11854.499563, 11854.100507, 11854.950252, 11854.252336, 11853.581888, 11855.282627, 11854.763227, 11854.440859, 11855.809629, 11852.667849, 11854.940226, 11853.027114, 11853.478182, 11852.775221, 11854.171766, 11852.738956, 11851.767194, 11852.588373, 11853.617249]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,ABSE-Range,10000,10,1,44,,157,44,,20,50635.07762949994,50634.232709999196,3.8940960918009417,1.7066628601479008,50630.43347599887,50648.00480899794,"[50634.531283, 50630.433476, 50633.866418, 50633.934137, 50631.775364, 50637.971769, 50633.356975, 50638.196611, 50632.387538, 50638.031488, 50637.224776, 50632.558143, 50637.999138, 50632.432814, 50632.069417, 50635.535389, 50631.54795, 50648.004809, 50634.603429, 50635.091666]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,ABSE-Range,10000,20,1,79,,157,79,,20,55009.67822329966,55010.06348699957,3.0159706123278567,1.3218074002321234,55004.655009001,55015.949584001646,"[55011.471792, 55009.863504, 55011.610592, 55011.955078, 55005.363032, 55011.196753, 55012.811237, 55010.99033, 55006.655694, 55007.539853, 55006.534778, 55009.495165, 55010.391621, 55005.148549, 55008.229283, 55013.744813, 55009.694329, 55015.949584, 55010.26347, 55004.655009]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,ABSE-Range,10000,30,1,123,,157,123,,20,58796.37897319989,58796.06729999978,2.6633437394667734,1.167261859183654,58792.41056200044,58801.71301599694,"[58799.798419, 58796.269703, 58793.839543, 58794.337205, 58795.864897, 58798.992044, 58800.0024, 58798.657478, 58798.350784, 58798.367536, 58793.037862, 58801.713016, 58795.102932, 58794.350656, 58794.25558, 58793.169445, 58795.094718, 58797.654622, 58792.410562, 58796.310062]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,ABSE-Range,10000,50,1,212,,157,212,,20,60193.625008149866,60193.39634550124,2.375193752628586,1.0409745593596262,60188.4734439991,60198.10490300006,"[60196.80925, 60190.900956, 60192.483787, 60194.573556, 60197.756112, 60191.466085, 60193.034872, 60192.340685, 60194.115544, 60191.825224, 60194.78794, 60195.598494, 60194.744093, 60192.39121, 60198.104903, 60193.757819, 60192.540113, 60191.932533, 60194.863543, 60188.473444]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
vs_range,ABSE-Range,10000,80,1,381,,157,381,,20,61163.29277299992,61163.3526985006,3.9205868165482554,1.7182729321643135,61158.07436600153,61173.94691199661,"[61168.234024, 61163.682082, 61161.725264, 61165.637324, 61161.626618, 61173.946912, 61164.030022, 61160.311143, 61158.074366, 61163.023315, 61165.422682, 61158.16104, 61160.9231, 61164.445035, 61164.593825, 61159.394353, 61168.703471, 61159.112577, 61163.721169, 61161.087138]",2026-08-17T18:12:23+00:00,ip-172-31-12-27,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
