scheme,d,m_c,tokengen_calls,matched,runs,mean_ms,median_ms,stdev_ms,ci95_ms,min_ms,max_ms,raw_ms,env_timestamp_utc,env_host,env_platform,env_python,env_aws_target,env_git_rev
BVCRSA,1,4,4,,20,3.11702460000447,3.1133489999888297,0.06865911758032084,0.030091185020210662,2.9869539999936023,3.233310000041456,"[3.12937, 3.216502, 2.986954, 3.153761, 3.162709, 3.083336, 3.121676, 3.062631, 3.23331, 3.158637, 3.105022, 3.058387, 3.047483, 3.046358, 3.081234, 3.095764, 3.218787, 3.032135, 3.192874, 3.153562]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA,2,8,8,,20,6.241274650011519,6.25522450002336,0.088651814404269,0.03885337073398154,6.090355999958774,6.366082999988976,"[6.366083, 6.184244, 6.314139, 6.121052, 6.285548, 6.308723, 6.094185, 6.245034, 6.291143, 6.169279, 6.273105, 6.325414, 6.090356, 6.238492, 6.345774, 6.216325, 6.232487, 6.265415, 6.354923, 6.103772]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA,3,12,12,,20,9.36195080000175,9.367337500009398,0.10616108002899634,0.046527144735887704,9.146538999971199,9.515591999956996,"[9.222919, 9.407631, 9.146539, 9.511147, 9.464642, 9.417901, 9.335794, 9.195912, 9.26803, 9.403009, 9.515592, 9.471375, 9.375681, 9.440203, 9.300449, 9.477658, 9.338731, 9.257264, 9.329545, 9.358994]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA,4,16,16,,20,12.497890499997766,12.505450499929793,0.1224540119676242,0.05366783699592737,12.109508000094138,12.692202999915025,"[12.42423, 12.492046, 12.57494, 12.437674, 12.434758, 12.488209, 12.526078, 12.600447, 12.628135, 12.600048, 12.518855, 12.109508, 12.479876, 12.566456, 12.555507, 12.550608, 12.481067, 12.457408, 12.692203, 12.339757]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
BVCRSA,5,20,20,,20,15.581833950000146,15.5824779999989,0.11177502027560057,0.04898756253044139,15.39447699997254,15.77063700005965,"[15.578741, 15.521984, 15.770637, 15.493509, 15.69186, 15.727152, 15.457894, 15.448596, 15.532478, 15.423028, 15.644619, 15.560786, 15.394477, 15.621713, 15.697184, 15.481715, 15.744608, 15.586215, 15.650185, 15.609298]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Trinity,1,4,4,,20,3498.0342631000103,3494.321231000015,13.207546451638555,5.788462449642589,3484.5275569999785,3546.1181550000447,"[3484.527557, 3487.075254, 3517.802935, 3492.514232, 3500.452488, 3493.339047, 3495.574369, 3493.980059, 3495.823396, 3504.704029, 3493.219525, 3490.118254, 3495.351461, 3492.639068, 3546.118155, 3498.516463, 3492.973258, 3494.662403, 3493.651431, 3497.641878]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Trinity,2,8,8,,20,7014.050829549989,7012.688721000018,9.263659110430043,4.059977612296134,7001.59287800011,7044.479291000016,"[7008.684128, 7011.291637, 7002.260294, 7011.891989, 7025.028292, 7019.999459, 7017.076017, 7015.356377, 7001.592878, 7005.861328, 7011.984381, 7019.349381, 7013.238634, 7006.481645, 7012.138808, 7008.28634, 7014.694206, 7044.479291, 7014.495947, 7016.825559]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Trinity,3,12,12,,20,10516.475522899975,10516.133592500068,9.163411387913046,4.016042110757176,10501.054694000004,10538.807100999975,"[10513.719876, 10508.49795, 10511.357094, 10517.604623, 10515.973467, 10503.100322, 10507.491769, 10519.954791, 10505.761122, 10501.054694, 10538.807101, 10516.293718, 10526.953966, 10512.71702, 10525.678627, 10520.640523, 10515.181164, 10525.553857, 10523.943483, 10519.225291]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Trinity,4,16,16,,20,14095.260450800013,14046.244928999953,100.12337078139204,43.881001987907325,14016.896208999924,14361.960600999964,"[14040.17879, 14016.896209, 14031.211241, 14020.020563, 14029.758459, 14018.353053, 14031.862615, 14107.869638, 14361.960601, 14338.760324, 14131.526533, 14105.489493, 14130.129361, 14196.263816, 14105.465351, 14052.311068, 14034.887998, 14032.322499, 14090.328521, 14029.612883]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
Trinity,5,20,20,,20,17543.04073674997,17546.669545999976,14.677537004207863,6.43271421480077,17498.947725999868,17569.219057000053,"[17498.947726, 17525.163373, 17537.20648, 17550.58084, 17547.720933, 17538.760231, 17546.54979, 17536.811708, 17546.789302, 17551.02269, 17533.203016, 17547.654462, 17565.824644, 17549.416657, 17569.219057, 17536.240895, 17537.462607, 17540.830026, 17552.511288, 17548.89901]",2026-08-17T18:12:27+00:00,ip-172-31-15-107,Linux-6.17.0-1017-aws-x86_64-with-glibc2.39,3.12.3,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,
