step,class,device,watts,watts_measured,energy_mJ,peak_mem_kb,output_bytes,runs,mean_ms,median_ms,stdev_ms,ci95_ms,min_ms,max_ms,raw_ms,env_timestamp_utc,env_host,env_platform,env_python,env_aws_target,env_git_rev
KDF_record_key,symmetric,DESKTOP-9RLOO3O,,False,,2.7,32,2,0.006050002411939204,0.006050002411939204,0.0016263374010109485,0.002253988641314208,0.0049000082071870565,0.007199996616691351,"[0.0072, 0.0049]",2026-08-16T18:24:39+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
AES_GCM_encrypt,symmetric,DESKTOP-9RLOO3O,,False,,11.02,54,2,0.2058500103885308,0.2058500103885308,0.00544474309442175,0.007546028937213122,0.20199999562464654,0.20970002515241504,"[0.2097, 0.202]",2026-08-16T18:24:39+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
HMAC_tag,symmetric,DESKTOP-9RLOO3O,,False,,2.2,32,2,0.008749993867240846,0.008749993867240846,0.0026162944326359712,0.0036259990883991122,0.00689999433234334,0.010599993402138352,"[0.0106, 0.0069]",2026-08-16T18:24:39+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
ECElGamal_encrypt_value,public_key,DESKTOP-9RLOO3O,,False,,5.64,66,2,18.64164999278728,18.64164999278728,0.286448977373188,0.3969980281544849,18.439099978422746,18.844200007151812,"[18.4391, 18.8442]",2026-08-16T18:24:39+00:00,DESKTOP-9RLOO3O,Windows-10-10.0.19045-SP0,3.14.7,ec2-<PUBLIC-IP>.<region>.compute.amazonaws.com,a5b2678
