SQ,normal_calls,bvcrsa_calls,normal_latency_ms,bvcrsa_latency_ms,speedup
1,1,2,33.5871,67.6387,0.497
2,2,2,66.0893,66.5111,0.994
3,3,2,96.6889,65.3837,1.479
5,5,2,110.3377,43.3463,2.545
8,8,2,147.3165,36.6169,4.023
10,10,2,178.6311,35.8613,4.981
15,15,2,273.4779,37.0741,7.377
20,20,2,369.2123,38.0176,9.712
30,30,2,541.5202,37.2965,14.519
40,40,2,718.9002,38.2329,18.803
50,50,2,898.769,38.2231,23.514
