SQ,normal_calls,bvcrsa_calls,normal_latency_ms,bvcrsa_latency_ms,speedup
10,10,2,181.469,36.6918,4.95
50,50,2,941.426,38.2109,24.64
100,100,2,1869.8299,39.6518,47.16
500,500,2,9404.5637,48.9827,192.0
1000,1000,2,18996.7192,61.3703,309.54
5000,5000,2,94458.2502,154.6963,610.6
10000,10000,2,343738.3349,495.7931,693.31
