SQ,normal_calls,bvcrsa_calls,normal_latency_ms,bvcrsa_latency_ms,speedup
1,1,2,19.7835,39.9981,0.495
2,2,2,40.7886,40.7616,1.001
3,3,2,92.0419,63.8451,1.442
5,5,2,151.3856,61.1017,2.478
8,8,2,358.1883,90.8464,3.943
10,10,2,306.8798,61.8794,4.959
15,15,2,416.9046,56.5456,7.373
20,20,2,547.2432,56.1582,9.745
30,30,2,836.5496,57.1333,14.642
40,40,2,1117.0671,57.916,19.288
50,50,2,1373.4956,59.4705,23.095
